date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:53	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:54%20GMT	http://nonfungiblecrib.my.canva.site/8bf99e1463b687f7.vendor.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/8bf99e1463b687f7.vendor.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:53	205600/205600	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/8bf99e1463b687f7.vendor.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/8bf99e1463b687f7.vendor.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:55%20GMT	http://nonfungiblecrib.my.canva.site/d804d847f5d321a3.vendor.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/d804d847f5d321a3.vendor.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:55%20GMT	http://nonfungiblecrib.my.canva.site/62bae1f666b7ff84.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/62bae1f666b7ff84.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:55	775833/775833	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/d804d847f5d321a3.vendor.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/d804d847f5d321a3.vendor.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:56%20GMT	http://nonfungiblecrib.my.canva.site/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://nonfungiblecrib.my.canva.site/)
00:02:56	1661475/1661475	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2022%20Nov%202024%2022:26:55%20GMT	https://nonfungiblecrib.my.canva.site/62bae1f666b7ff84.js	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/62bae1f666b7ff84.js	(from https://nonfungiblecrib.my.canva.site/)
00:02:57	721/721	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Nov%202024%2022:26:57%20GMT	https://nonfungiblecrib.my.canva.site/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/images/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://nonfungiblecrib.my.canva.site/)
00:02:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Nov%202024%2023:02:58%20GMT	http://nonfungiblecrib.my.canva.site/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	(from https://nonfungiblecrib.my.canva.site/)
00:02:58	5971/5971	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Nov%202024%2022:27:01%20GMT	https://nonfungiblecrib.my.canva.site/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	C:/Users/SETUP%20GAME/OneDrive/Desktop/PORTFOLIO/nonfungiblecrib.my.canva.site/images/e53c4bd8da5e491d9ab09e7cf0daf874.png	(from https://nonfungiblecrib.my.canva.site/)
